County,Pop2019,Pop2021,% ChangePop,Income2019,Income2021,%ChangeIncome,,,,,,,,,,,,,,,
Tennessee,"6,829,174","6,975,218",2.14,49343.00,56560.00,14.63,,,,,,,,,,,,,,,
Anderson,"76,978","77,576",0.78,44090.00,50901.00,15.45,,,,,,,,,,,,,,,
Bedford,"49,713","51,119",2.83,39243.00,46083.00,17.43,,,,,,,,,,,,,,,
Benton,"16,160","15,872",-1.78,35071.00,40963.00,16.80,,,,,,,,,,,,,,,
Bledsoe,"15,064","15,234",1.13,28598.00,33675.00,17.75,,,,,,,,,,,,,,,
Blount,"133,088","137,605",3.39,45860.00,52596.00,14.69,,,,,,,,,,,,,,,
Bradley,"108,110","110,162",1.90,40228.00,46409.00,15.36,,,,,,,,,,,,,,,
Campbell,"39,842","39,578",-0.66,35824.00,42471.00,18.55,,,,,,,,,,,,,,,
Cannon,"14,678","14,553",-0.85,37663.00,44419.00,17.94,,,,,,,,,,,,,,,
Carroll,"27,767","28,432",2.39,36312.00,40502.00,11.54,,,,,,,,,,,,,,,
Carter,"56,391","56,134",-0.46,35153.00,40739.00,15.89,,,,,,,,,,,,,,,
Cheatham,"40,667","41,523",2.10,47099.00,54069.00,14.80,,,,,,,,,,,,,,,
Chester,"17,297","17,504",1.20,35315.00,41568.00,17.71,,,,,,,,,,,,,,,
Claiborne,"31,959","32,267",0.96,36464.00,42542.00,16.67,,,,,,,,,,,,,,,
Clay,"7,615","7,555",-0.79,32550.00,40338.00,23.93,,,,,,,,,,,,,,,
Cocke,"36,004","36,418",1.15,33984.00,40384.00,18.83,,,,,,,,,,,,,,,
Coffee,"56,520","59,032",4.44,41181.00,46299.00,12.43,,,,,,,,,,,,,,,
Crockett,"14,230","13,979",-1.76,42303.00,49729.00,17.55,,,,,,,,,,,,,,,
Cumberland,"60,520","62,451",3.19,39092.00,44295.00,13.31,,,,,,,,,,,,,,,
Davidson,"694,144","703,953",1.41,71100.00,82087.00,15.45,,,,,,,,,,,,,,,
Decatur,"11,663","11,391",-2.33,43581.00,48912.00,12.23,,,,,,,,,,,,,,,
DeKalb,"20,490","20,478",-0.06,41954.00,47634.00,13.54,,,,,,,,,,,,,,,
Dickson,"53,948","55,292",2.49,43611.00,50218.00,15.15,,,,,,,,,,,,,,,
Dyer,"37,159","36,615",-1.46,42418.00,51559.00,21.55,,,,,,,,,,,,,,,
Fayette,"41,133","42,832",4.13,58804.00,68153.00,15.90,,,,,,,,,,,,,,,
Fentress,"18,523","18,850",1.77,35093.00,40402.00,15.13,,,,,,,,,,,,,,,
Franklin,"42,208","43,215",2.39,40494.00,45975.00,13.54,,,,,,,,,,,,,,,
Gibson,"49,133","50,541",2.87,39164.00,46449.00,18.60,,,,,,,,,,,,,,,
Giles,"29,464","30,542",3.66,38464.00,43321.00,12.63,,,,,,,,,,,,,,,
Grainger,"23,320","23,763",1.90,35331.00,41569.00,17.66,,,,,,,,,,,,,,,
Greene,"69,069","70,621",2.25,37107.00,41796.00,12.64,,,,,,,,,,,,,,,
Grundy,"13,427","13,622",1.45,33628.00,39349.00,17.01,,,,,,,,,,,,,,,
Hamblen,"64,934","64,468",-0.72,38554.00,45234.00,17.33,,,,,,,,,,,,,,,
Hamilton,"367,804","369,135",0.36,54475.00,60089.00,10.31,,,,,,,,,,,,,,,
Hancock,"6,620","6,787",2.52,28021.00,34135.00,21.82,,,,,,,,,,,,,,,
Hardeman,"25,050","25,426",1.50,30266.00,35485.00,17.24,,,,,,,,,,,,,,,
Hardin,"25,652","26,892",4.83,39199.00,45053.00,14.93,,,,,,,,,,,,,,,
Hawkins,"56,786","57,288",0.88,35369.00,41436.00,17.15,,,,,,,,,,,,,,,
Haywood,"17,304","17,694",2.25,33721.00,41503.00,23.08,,,,,,,,,,,,,,,
Henderson,"28,117","27,953",-0.58,37644.00,44357.00,17.83,,,,,,,,,,,,,,,
Henry,"32,345","32,239",-0.33,42710.00,49852.00,16.72,,,,,,,,,,,,,,,
Hickman,"25,178","25,307",0.51,35945.00,41689.00,15.98,,,,,,,,,,,,,,,
Houston,"8,201","8,317",1.41,34415.00,39128.00,13.69,,,,,,,,,,,,,,,
Humphreys,"18,582","19,211",3.38,39322.00,44127.00,12.22,,,,,,,,,,,,,,,
Jackson,"11,786","11,750",-0.31,33366.00,38953.00,16.74,,,,,,,,,,,,,,,
Jefferson,"54,495","55,624",2.07,38765.00,44330.00,14.36,,,,,,,,,,,,,,,
Johnson,"17,788","18,170",2.15,33282.00,37936.00,13.98,,,,,,,,,,,,,,,
Knox,"470,313","486,677",3.48,52753.00,59934.00,13.61,,,,,,,,,,,,,,,
Lake,"7,016","7,128",1.60,24802.00,29534.00,19.08,,,,,,,,,,,,,,,
Lauderdale,"25,633","25,108",-2.05,32784.00,39733.00,21.20,,,,,,,,,,,,,,,
Lawrence,"44,142","44,828",1.55,35784.00,41310.00,15.44,,,,,,,,,,,,,,,
Lewis,"12,268","12,857",4.80,36069.00,41476.00,14.99,,,,,,,,,,,,,,,
Lincoln,"34,366","35,433",3.10,41767.00,48683.00,16.56,,,,,,,,,,,,,,,
Loudon,"54,068","56,690",4.85,54449.00,60642.00,11.37,,,,,,,,,,,,,,,
McMinn,"53,794","54,059",0.49,33618.00,39669.00,18.00,,,,,,,,,,,,,,,
McNairy,"25,694","25,860",0.65,43975.00,51004.00,15.98,,,,,,,,,,,,,,,
Macon,"24,602","25,699",4.46,40301.00,46559.00,15.53,,,,,,,,,,,,,,,
Madison,"97,984","98,775",0.81,40704.00,47446.00,16.56,,,,,,,,,,,,,,,
Marion,"28,907","28,877",-0.10,45199.00,52041.00,15.14,,,,,,,,,,,,,,,
Marshall,"34,375","34,984",1.77,37942.00,43715.00,15.22,,,,,,,,,,,,,,,
Maury,"96,387","104,760",8.69,33591.00,38354.00,14.18,,,,,,,,,,,,,,,
Meigs,"12,422","13,049",5.05,34639.00,39452.00,13.89,,,,,,,,,,,,,,,
Monroe,"46,545","46,698",0.33,36325.00,42276.00,16.38,,,,,,,,,,,,,,,
Montgomery,"208,993","227,900",9.05,42647.00,48104.00,12.80,,,,,,,,,,,,,,,
Moore,"6,488","6,644",2.40,43240.00,48015.00,11.04,,,,,,,,,,,,,,,
Morgan,"21,403","21,254",-0.70,32561.00,39005.00,19.79,,,,,,,,,,,,,,,
Obion,"30,069","30,466",1.32,40375.00,48493.00,20.11,,,,,,,,,,,,,,,
Overton,"22,241","22,839",2.69,35018.00,40959.00,16.97,,,,,,,,,,,,,,,
Perry,"8,076","8,472",4.90,34491.00,38404.00,11.34,,,,,,,,,,,,,,,
Pickett,"5,048","5,079",0.61,40574.00,45308.00,11.67,,,,,,,,,,,,,,,
Polk,"16,832","17,776",5.61,33761.00,39180.00,16.05,,,,,,,,,,,,,,,
Putnam,"80,245","81,188",1.18,41621.00,47536.00,14.21,,,,,,,,,,,,,,,
Rhea,"33,167","33,136",-0.09,36163.00,42174.00,16.62,,,,,,,,,,,,,,,
Roane,"53,382","53,992",1.14,43488.00,49972.00,14.91,,,,,,,,,,,,,,,
Robertson,"71,813","74,098",3.18,44306.00,51097.00,15.33,,,,,,,,,,,,,,,
Rutherford,"332,285","352,182",5.99,43273.00,49411.00,14.18,,,,,,,,,,,,,,,
Scott,"22,068","21,917",-0.68,31373.00,37333.00,19.00,,,,,,,,,,,,,,,
Sequatchie,"15,026","16,396",9.12,38090.00,43709.00,14.75,,,,,,,,,,,,,,,
Sevier,"98,250","99,517",1.29,43223.00,49012.00,13.39,,,,,,,,,,,,,,,
Shelby,"937,166","924,454",-1.36,51067.00,59212.00,15.95,,,,,,,,,,,,,,,
Smith,"20,157","20,172",0.07,41898.00,48602.00,16.00,,,,,,,,,,,,,,,
Stewart,"13,715","13,855",1.02,42737.00,48205.00,12.79,,,,,,,,,,,,,,,
Sullivan,"158,348","159,265",0.58,44125.00,50418.00,14.26,,,,,,,,,,,,,,,
Sumner,"191,283","200,557",4.85,52015.00,59105.00,13.63,,,,,,,,,,,,,,,
Tipton,"61,599","61,004",-0.97,41866.00,49219.00,17.56,,,,,,,,,,,,,,,
Trousdale,"11,284","12,035",6.66,31874.00,36454.00,14.37,,,,,,,,,,,,,,,
Unicoi,"17,883","17,698",-1.03,37049.00,43044.00,16.18,,,,,,,,,,,,,,,
Union,"19,972","20,040",0.34,34493.00,40349.00,16.98,,,,,,,,,,,,,,,
Van Buren,"5,872","6,324",7.70,31881.00,36669.00,15.02,,,,,,,,,,,,,,,
Warren,"41,277","41,523",0.60,36188.00,41296.00,14.12,,,,,,,,,,,,,,,
Washington,"129,375","134,236",3.76,45144.00,52089.00,15.38,,,,,,,,,,,,,,,
Wayne,"16,673","16,409",-1.58,30283.00,35726.00,17.97,,,,,,,,,,,,,,,
Weakley,"33,328","33,036",-0.88,38337.00,45366.00,18.33,,,,,,,,,,,,,,,
White,"27,345","27,650",1.12,35019.00,40770.00,16.42,,,,,,,,,,,,,,,
Williamson,"238,412","255,735",7.27,95806.00,107698.00,12.41,,,,,,,,,,,,,,,
Wilson,"144,657","151,917",5.02,52573.00,59229.00,12.66,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,